=== Baseline (cloud-only) ===
[CLOUD] 1/50 /video58.mp4 -> 0.0026s
[CLOUD] 2/50 /video39.mp4 -> 0.0023s
[CLOUD] 3/50 /sensor5.json -> 0.0009s
[CLOUD] 4/50 /sensor62.json -> 0.0008s
[CLOUD] 5/50 /sensor62.json -> 0.0008s
[CLOUD] 6/50 /sensor54.json -> 0.0005s
[CLOUD] 7/50 /video69.mp4 -> 0.0017s
[CLOUD] 8/50 /sensor83.json -> 0.0006s
[CLOUD] 9/50 /sensor41.json -> 0.0006s
[CLOUD] 10/50 /video36.mp4 -> 0.0026s
[CLOUD] 11/50 /sensor87.json -> 0.0004s
[CLOUD] 12/50 /video73.mp4 -> 0.0024s
[CLOUD] 13/50 /video60.mp4 -> 0.0021s
[CLOUD] 14/50 /video90.mp4 -> 0.0017s
[CLOUD] 15/50 /video14.mp4 -> 0.0019s
[CLOUD] 16/50 /sensor68.json -> 0.0007s
[CLOUD] 17/50 /sensor4.json -> 0.0006s
[CLOUD] 18/50 /video86.mp4 -> 0.0015s
[CLOUD] 19/50 /video5.mp4 -> 0.0019s
[CLOUD] 20/50 /sensor90.json -> 0.0005s
[CLOUD] 21/50 /video21.mp4 -> 0.0016s
[CLOUD] 22/50 /video53.mp4 -> 0.0026s
[CLOUD] 23/50 /sensor9.json -> 0.0006s
[CLOUD] 24/50 /sensor26.json -> 0.0008s
[CLOUD] 25/50 /video77.mp4 -> 0.0035s
[CLOUD] 26/50 /video61.mp4 -> 0.0031s
[CLOUD] 27/50 /video94.mp4 -> 0.0021s
[CLOUD] 28/50 /sensor46.json -> 0.0005s
[CLOUD] 29/50 /sensor32.json -> 0.0007s
[CLOUD] 30/50 /video11.mp4 -> 0.0024s
[CLOUD] 31/50 /video88.mp4 -> 0.0025s
[CLOUD] 32/50 /sensor76.json -> 0.0006s
[CLOUD] 33/50 /sensor15.json -> 0.0005s
[CLOUD] 34/50 /video87.mp4 -> 0.0023s
[CLOUD] 35/50 /sensor51.json -> 0.0006s
[CLOUD] 36/50 /sensor3.json -> 0.0005s
[CLOUD] 37/50 /video16.mp4 -> 0.0020s
[CLOUD] 38/50 /video46.mp4 -> 0.0016s
[CLOUD] 39/50 /sensor9.json -> 0.0005s
[CLOUD] 40/50 /sensor61.json -> 0.0005s
[CLOUD] 41/50 /sensor16.json -> 0.0006s
[CLOUD] 42/50 /sensor79.json -> 0.0006s
[CLOUD] 43/50 /video89.mp4 -> 0.0020s
[CLOUD] 44/50 /sensor65.json -> 0.0006s
[CLOUD] 45/50 /video98.mp4 -> 0.0027s
[CLOUD] 46/50 /video7.mp4 -> 0.0021s
[CLOUD] 47/50 /sensor7.json -> 0.0006s
[CLOUD] 48/50 /sensor29.json -> 0.0006s
[CLOUD] 49/50 /video17.mp4 -> 0.0030s
